Name,Department
Affiliate Marketing,Marketing
B2B Marketing,Marketing
B2C Marketing,Marketing
Content Marketing,Marketing
Demand Generation,Marketing
Eloqua,Marketing
Email Marketing,Marketing
Event Marketing,Marketing
Excel,Marketing
Google AdWords,Marketing
Google Analytics,Marketing
Google Tag Manager,Marketing
Marketing Automation,Marketing
Marketo,Marketing
Paid Social,Marketing
Pardot,Marketing
Pay Per Click,Marketing
Product Marketing,Marketing
Programmatic Display Advertising,Marketing
Segment,Marketing
SEM,Marketing
SEO,Marketing
Salesforce,"Marketing,Engineering"
SQL,"Marketing,Engineering"
Wordpress,"Marketing,Engineering"
CSS,"Marketing,Engineering,Design"
HTML,"Marketing,Engineering,Design"
Javascript,"Marketing,Engineering,Design"
.NET,Engineering
Android ,Engineering
Angular,Engineering
Angular.js,Engineering
AWS,Engineering
C,Engineering
C#,Engineering
C++,Engineering
Cassandra,Engineering
Chef,Engineering
DevOps,Engineering
Django,Engineering
Docker,Engineering
Drupal,Engineering
ElasticSearch,Engineering
Elixir,Engineering
ES6,Engineering
Go lang,Engineering
Google Cloud,Engineering
Hadoop,Engineering
iOS,Engineering
Java,Engineering
Jenkins,Engineering
Kafka,Engineering
Kotlin,Engineering
Kubernetes,Engineering
Laravel,Engineering
Linux,Engineering
Machine Learning,Engineering
MapReduce,Engineering
Microsoft Azure,Engineering
MongoDB,Engineering
MySQL,Engineering
Node.js,Engineering
PHP,Engineering
PostgreSQL,Engineering
Puppet,Engineering
Python,Engineering
R,Engineering
React.js,Engineering
Redis,Engineering
Ruby,Engineering
Ruby On Rails,Engineering
Scala,Engineering
Serverless,Engineering
Spark,Engineering
SQL,Engineering
SQL Server,Engineering
Swift,Engineering
Symphony,Engineering
Vue.js,Engineering
Graphic Design,Design
Mobile Design,Design
Photoshop,Design
Product Design,Design
Sketch,Design
UI Design,Design
UX Design,Design
Wireframes,Design
